,date,hour,visitor,visitor_id,visitor_score,home,home_id,home_score,box_score_link,OT,att
0,"Tue, Oct 25, 2016",10:00p,Utah Jazz,/teams/UTA/2017.html,104,Portland Trail Blazers,/teams/POR/2017.html,113,/boxscores/201610250POR.html,,"19,446"
1,"Tue, Oct 25, 2016",10:30p,San Antonio Spurs,/teams/SAS/2017.html,129,Golden State Warriors,/teams/GSW/2017.html,100,/boxscores/201610250GSW.html,,"19,596"
2,"Wed, Oct 26, 2016",7:00p,Dallas Mavericks,/teams/DAL/2017.html,121,Indiana Pacers,/teams/IND/2017.html,130,/boxscores/201610260IND.html,OT,"17,923"
3,"Wed, Oct 26, 2016",7:00p,Miami Heat,/teams/MIA/2017.html,108,Orlando Magic,/teams/ORL/2017.html,96,/boxscores/201610260ORL.html,,"19,298"
4,"Wed, Oct 26, 2016",7:30p,Detroit Pistons,/teams/DET/2017.html,91,Toronto Raptors,/teams/TOR/2017.html,109,/boxscores/201610260TOR.html,,"19,800"
5,"Wed, Oct 26, 2016",7:30p,Brooklyn Nets,/teams/BRK/2017.html,117,Boston Celtics,/teams/BOS/2017.html,122,/boxscores/201610260BOS.html,,"18,624"
6,"Wed, Oct 26, 2016",8:00p,Charlotte Hornets,/teams/CHO/2017.html,107,Milwaukee Bucks,/teams/MIL/2017.html,96,/boxscores/201610260MIL.html,,"18,717"
7,"Wed, Oct 26, 2016",8:00p,Denver Nuggets,/teams/DEN/2017.html,107,New Orleans Pelicans,/teams/NOP/2017.html,102,/boxscores/201610260NOP.html,,"15,869"
8,"Wed, Oct 26, 2016",8:00p,Minnesota Timberwolves,/teams/MIN/2017.html,98,Memphis Grizzlies,/teams/MEM/2017.html,102,/boxscores/201610260MEM.html,,"18,119"
9,"Wed, Oct 26, 2016",8:00p,Oklahoma City Thunder,/teams/OKC/2017.html,103,Philadelphia 76ers,/teams/PHI/2017.html,97,/boxscores/201610260PHI.html,,"20,487"
10,"Wed, Oct 26, 2016",10:00p,Sacramento Kings,/teams/SAC/2017.html,113,Phoenix Suns,/teams/PHO/2017.html,94,/boxscores/201610260PHO.html,,"18,055"
